pid,birthyr,age,male1,educ,faminc,region,trump
6,1935,83,1,6,NA,3,84
1,1995,23,2,5,11,1,NA
1,1959,59,2,5,6,2,1
6,1984,34,2,4,3,3,83
4,1997,21,2,6,10,2,2
7,1948,70,1,5,7,4,95
5,1999,19,2,2,2,4,90
1,1956,62,1,6,7,4,2
7,1957,61,1,5,12,3,95
1,2000,18,2,2,2,3,0
1,1958,60,1,2,2,1,0
1,1975,43,2,3,9,3,9
7,1965,53,2,4,4,3,70
7,1984,34,2,2,3,2,100
4,1983,35,2,2,1,3,3
7,1975,43,2,2,11,2,60
5,1952,66,1,5,12,3,91
3,1954,64,1,6,9,3,1
6,1958,60,2,4,5,3,99
5,1984,34,2,5,6,3,15
2,1966,52,2,3,10,2,1
2,1977,41,1,3,3,3,5
1,1978,40,1,5,6,4,0
3,1981,37,2,5,7,2,1
3,1964,54,2,3,6,1,12
1,1981,37,2,5,8,3,0
7,1964,54,2,3,5,3,86
2,1952,66,2,2,8,3,0
1,1984,34,2,1,4,3,2
3,1970,48,1,5,10,2,1
7,1988,30,2,2,NA,4,64
7,1973,45,1,4,6,1,95
2,1959,59,2,2,2,2,9
6,1989,29,2,1,4,4,15
1,1953,65,2,3,5,1,0
1,1983,35,2,5,9,3,1
3,1973,45,2,3,2,3,41
7,1948,70,2,3,NA,4,75
7,1978,40,1,1,6,4,98
2,1975,43,2,6,10,3,7
3,1987,31,2,5,4,3,0
1,1969,49,2,1,3,4,19
1,1971,47,2,6,10,2,2
4,1965,53,2,2,3,1,34
1,1969,49,2,2,7,4,1
7,1991,27,2,2,4,1,98
5,1970,48,1,6,12,4,40
6,1984,34,1,6,7,4,100
3,1992,26,2,4,3,4,1
5,1997,21,1,3,8,2,88
7,1995,23,2,2,4,3,100
2,1965,53,2,2,2,3,3
4,1960,58,1,4,4,4,0
1,1990,28,1,4,10,4,100
2,1986,32,2,5,10,4,72
1,1991,27,2,3,3,2,69
7,1980,38,2,5,10,3,100
7,1963,55,2,3,2,3,97
1,1947,71,2,2,4,2,16
2,1989,29,2,2,4,3,94
1,1985,33,1,6,8,2,4
5,1965,53,1,4,10,3,100
2,1979,39,1,6,13,3,0
4,1987,31,2,2,5,3,6
6,1950,68,1,3,4,3,99
2,1986,32,2,3,9,4,8
4,1964,54,1,5,12,3,88
2,1962,56,1,5,11,4,0
7,1965,53,1,3,7,3,96
2,1967,51,1,6,6,4,1
4,1989,29,1,1,NA,2,0
1,1978,40,1,6,10,3,1
1,1991,27,2,6,5,1,0
1,1983,35,2,2,1,1,NA
1,1990,28,1,2,5,1,0
4,1982,36,1,3,4,3,100
2,1962,56,1,3,2,2,3
5,1978,40,1,5,10,3,100
6,1984,34,1,3,4,1,51
1,1989,29,2,6,11,3,0
4,1981,37,2,2,8,1,40
3,1995,23,1,4,4,3,50
5,1998,20,2,2,3,3,32
4,1977,41,1,2,5,2,69
6,1990,28,2,6,3,3,64
2,1971,47,1,5,6,1,0
6,1980,38,1,5,10,1,62
4,1954,64,1,2,11,4,99
5,1968,50,1,5,NA,3,76
1,1968,50,2,6,5,2,0
4,1989,29,1,4,6,3,57
1,1955,63,1,2,2,4,2
2,1975,43,1,6,11,2,1
7,2000,18,1,3,NA,3,95
1,1968,50,1,5,6,4,1
3,1979,39,1,2,NA,1,1
4,1958,60,1,4,5,3,2
7,1945,73,1,6,NA,1,69
5,1977,41,1,6,10,3,72
1,1964,54,1,4,11,2,0
3,1989,29,1,6,9,1,0
2,1948,70,2,2,4,3,0
1,1965,53,2,1,1,1,100
2,1997,21,1,3,NA,1,0
2,1981,37,1,1,2,4,53
7,1972,46,1,2,4,1,100
7,1960,58,2,6,9,3,91
4,1963,55,2,3,6,2,93
7,1945,73,2,2,4,1,99
4,1990,28,2,2,2,3,68
1,1940,78,2,4,NA,4,0
3,1989,29,1,6,3,3,1
6,1997,21,2,2,1,2,43
4,1993,25,2,5,8,3,6
1,1984,34,2,5,4,2,4
7,1991,27,1,6,9,3,90
1,1995,23,1,3,10,1,6
3,1955,63,2,3,4,4,3
3,1964,54,2,3,3,4,NA
7,1930,88,2,6,9,1,95
7,1966,52,2,3,4,1,100
1,1958,60,2,2,3,3,9
3,1951,67,2,6,9,2,1
5,1970,48,1,3,3,3,20
1,1994,24,1,5,7,1,0
1,1960,58,2,2,3,1,2
1,1958,60,2,3,12,4,0
1,1972,46,2,6,NA,1,1
2,1977,41,1,3,7,3,6
1,1973,45,2,5,12,3,1
2,1980,38,1,5,9,3,0
1,1962,56,2,5,9,3,2
7,1964,54,1,1,4,4,90
7,1949,69,1,6,15,1,95
1,1981,37,1,3,5,3,34
1,1993,25,2,2,1,3,NA
7,1946,72,2,2,NA,3,96
6,1962,56,2,2,2,3,100
4,1970,48,2,2,4,2,39
3,1987,31,2,3,9,1,2
3,1975,43,2,6,11,4,0
1,1993,25,1,5,4,3,6
1,1960,58,1,5,2,2,0
4,1993,25,2,3,4,3,0
4,1962,56,2,2,3,3,6
1,1958,60,2,5,3,1,10
7,1953,65,1,2,7,1,95
1,1950,68,2,5,NA,1,1
1,1940,78,2,1,1,2,1
3,1979,39,2,5,10,3,4
4,1961,57,2,2,3,1,70
7,1966,52,1,5,12,2,89
5,1961,57,2,3,10,2,80
7,1958,60,1,5,12,4,89
1,1982,36,2,6,7,2,0
1,1944,74,2,6,NA,2,4
2,1960,58,1,3,13,4,61
2,1995,23,1,5,2,4,31
1,1987,31,2,3,4,4,0
1,1987,31,2,5,9,4,0
4,1957,61,2,4,7,2,39
2,1984,34,2,4,7,1,31
4,1968,50,1,6,9,2,35
5,1968,50,2,5,7,3,90
